Iterations;Energies;cond(Ai);cond(Ai-1 @ Ai)
1;500;550.0033880520105;1.212144912437367
2;500;549.5728300413718;1.3317744324958185
3;500;549.2770539524904;1.393722097840635
4;500;549.1352846492103;1.4254578832304383
5;500;549.0579908114933;1.440936135865797
6;500;549.0271858524106;1.4486538721563964
7;500;549.0055152823546;1.4524187771201118
8;500;548.9949818589236;1.4542417029518482
9;500;548.9901691058319;1.4551300449483424
10;500;548.9881427793011;1.4555762269244077
11;500;548.987161228917;1.4558114185008317
12;500;548.9865095739754;1.4559390153834193
13;500;548.9860941738131;1.4560078472819575
14;500;548.9858753882777;1.4560443589014354
15;500;548.9857753486783;1.456063531845302
16;500;548.9857332744652;1.4560735782896428
17;500;548.9857163895181;1.4560788540192104
18;500;548.9857097656197;1.4560816349145937
19;500;548.9857071698053;1.4560831065584277
20;500;548.9857061264148;1.4560838881361784
21;500;548.9857056818207;1.456084304483284
22;500;548.985705474682;1.4560845268229965
23;500;548.985705367674;1.4560846457928907
24;500;548.9857053074638;1.4560847095516982
25;500;548.9857052716483;1.456084743762868
26;500;548.985705249736;1.4560847621374724
27;500;548.9857052362248;1.4560847720129362
28;500;548.9857052279365;1.456084777323386
29;500;548.9857052228698;1.4560847801814087
30;500;548.9857052198937;1.4560847817183855
31;500;548.9857052181037;1.4560847825469418
1;501;550.5203217537866;1.2130095539026717
2;501;550.0193742344281;1.3332434291945385
3;501;549.6952573238933;1.395540974901828
4;501;549.54242408372;1.4274569254083218
5;501;549.4600310907991;1.4430325069421142
6;501;549.4271696657084;1.450795764889671
7;501;549.404042330144;1.45458434204565
8;501;549.3927682289711;1.4564188246839094
9;501;549.3876226363866;1.4573126489594999
10;501;549.3854617515176;1.4577612942775942
11;501;549.3844222895124;1.4579975545362505
12;501;549.3837384428798;1.4581256393122135
13;501;549.383305499916;1.458194709923338
14;501;549.3830790978477;1.4582313405408875
15;501;549.3829765678058;1.4582505725756827
16;501;549.382934036248;1.4582606482674725
17;501;549.382917302474;1.4582659384844203
18;501;549.3829109199155;1.458268726580764
19;501;549.3829085129917;1.4582702018187876
20;501;549.382907591058;1.458270985198537
21;501;549.3829072173185;1.458271402453026
22;501;549.3829070492427;1.4582716252507344
23;501;549.38290696301;1.4582717444530662
24;501;549.3829069133701;1.458271808330722
25;501;549.3829068828517;1.4582718426019887
26;501;549.3829068635839;1.458271861006816
27;501;549.3829068513252;1.4582718708981086
28;501;549.3829068436299;1.4582718762162241
29;501;549.3829068388922;1.458271879079399
30;501;549.3829068359292;1.4582718806185158
31;501;549.3829068342036;1.4582718814480806
1;502;551.039289399997;1.2139197824358972
2;502;550.4726709363166;1.334784562067321
3;502;550.1232787675386;1.3974461642215836
4;502;549.9609360867959;1.429549390201512
5;502;549.8742953739031;1.4452260211777928
6;502;549.8397494832998;1.4530364114194507
7;502;549.8153930221556;1.4568495452012387
8;502;549.8034897860624;1.4586960258203108
9;502;549.7980629680585;1.4595955587824108
10;502;549.7957901410008;1.4600467955866496
11;502;549.7947041921162;1.4602842078280467
12;502;549.7939957316229;1.4604128370624607
13;502;549.7935501466674;1.4604821820880507
14;502;549.7933188558794;1.460518952392549
15;502;549.7932152081353;1.4605382549362007
16;502;549.7931728800605;1.4605483660571976
17;502;549.7931566132938;1.4605536740966176
18;502;549.7931506248697;1.4605564711944774
19;502;549.7931484825865;1.4605579510021947
20;502;549.7931477203944;1.4605587367148163
21;502;549.7931474375522;1.4605591551652126
22;502;549.7931473190412;1.4605593785799327
23;502;549.7931472591299;1.4605594980998258
24;502;549.7931472233057;1.4605595621427445
25;502;549.7931471998911;1.4605595964993783
26;502;549.7931471840599;1.460559614950584
27;502;549.793147173607;1.4605596248651287
28;502;549.7931471668395;1.4605596301959933
29;502;549.7931471624887;1.4605596330647608
30;502;549.7931471597277;1.460559634607322
31;502;549.7931471581225;1.4605596354385175
1;503;551.5581736786057;1.2148731022610213
2;503;550.9312699262426;1.336393591036571
3;503;550.5599677184113;1.399432428217915
4;503;550.3898002333251;1.4317295281580842
5;503;550.2998185497258;1.4475106414922427
6;503;550.2639870162926;1.4553696481330947
7;503;550.2386459188748;1.4592081560842858
8;503;550.2262334207078;1.4610670418178089
9;503;550.2205809087424;1.4619724919700505
10;503;550.2182205334956;1.4624264381330911
11;503;550.2171002981466;1.4626650790228557
12;503;550.2163750999625;1.4627943048398615
13;503;550.2159218506122;1.462863957228632
14;503;550.2156883910577;1.4629008863512822
15;503;550.2155849687106;1.4629202699847097
16;503;550.215543478379;1.4629304222747102
17;503;550.2155279755196;1.462935751236663
18;503;550.2155225218361;1.462938559012491
19;503;550.2155207124435;1.4629400443002378
20;503;550.2155201441964;1.4629408328394262
21;503;550.2155199696175;1.4629412527564025
22;503;550.2155199099611;1.4629414769332996
23;503;550.2155198814661;1.4629415968532729
24;503;550.2155198620583;1.4629416611054762
25;503;550.2155198471552;1.4629416955730095
26;503;550.21551983579;1.4629417140809111
27;503;550.2155198276047;1.46294172402597
28;503;550.2155198218552;1.4629417293732963
29;503;550.2155198181562;1.4629417322505363
30;503;550.2155198157025;1.4629417337977582
31;503;550.2155198141933;1.462941734631883
1;504;552.074935011826;1.2158667115007655
2;504;551.3937817751656;1.3380658055268908
3;504;551.0042206027339;1.401493974901795
4;504;550.828034839188;1.4339909942233078
5;504;550.7356693524994;1.449879714559217
6;504;550.6989759857186;1.4577886859934812
7;504;550.6729105285054;1.4616533139199772
8;504;550.6601164980842;1.4635249757749562
9;504;550.6542975393032;1.464436533111093
10;504;550.6518757005026;1.4648932963427144
