Iterations;Energies;cond(Ai);cond(Ai-1 @ Ai)
1;0;1253.0983369735382;1.4311947611139133
2;0;1213.9016525473874;1.1833524628306513
3;0;1196.0689086954153;1.0827127191799102
4;0;1187.7306172478163;1.0390528424841634
5;0;1183.9675607043544;1.018461933007734
6;0;1182.134089742056;1.009206172059285
7;0;1181.3424428358046;1.004378139781246
8;0;1180.972625891067;1.0020861233942515
9;0;1180.8010194389283;1.0010124071241164
10;0;1180.7209363211578;1.0005013310582667
11;0;1180.6833787743756;1.0002544133762992
12;0;1180.6657716607463;1.0001307582292882
13;0;1180.6575336410347;1.0000673298810934
14;0;1180.6536776294429;1.000034705642327
15;0;1180.651868766001;1.000017958189925
16;0;1180.6510177587777;1.0000093466912563
17;0;1180.650616070966;1.0000048950023104
18;0;1180.6504257789738;1.000002578062612
19;0;1180.6503352454815;1.0000013641399872
20;0;1180.650292035767;1.0000007244184879
21;0;1180.6502713208379;1.0000003857426638
22;0;1180.6502613429307;1.0000002058236281
23;0;1180.650256527008;1.000000109987995
24;0;1180.6502541896004;1.0000000588468314
25;0;1180.650253090403;1.0000000315113577
26;0;1180.6502524975865;1.0000000168963745
27;0;1180.6502521783482;1.0000000090617798
28;0;1180.6502520754484;1.0000000048592905
29;0;1180.650251952871;1.0000000026183122
30;0;1180.6502519501028;1.0000000014027106
31;0;1180.650251947649;1.000000000755267
