Iterations;Energies;cond(Ai);cond(A0 @ Ai)
1;0;1253.0983369735043;1.4311947611139293
2;0;1213.9016525472484;1.6864193007715502
3;0;1196.0689086955272;1.820154851226064
4;0;1187.730617247788;1.887853163018096
5;0;1183.9675607043625;1.9200474072457892
6;0;1182.1340897420425;1.9367381366352576
7;0;1181.3424428357462;1.944719338461098
8;0;1180.9726258909511;1.9485459729097394
9;0;1180.8010194389756;1.950395340393924
10;0;1180.720936321123;1.9512994259191387
11;0;1180.6833787744815;1.9517456875063148
12;0;1180.6657716607324;1.9519648900891795
13;0;1180.657533641196;1.9520715076468789
14;0;1180.6536776292455;1.9521231760196727
15;0;1180.6518687659511;1.952148260720481
16;0;1180.6510177586972;1.9521604921376345
17;0;1180.6506160709512;1.9521664877505422
18;0;1180.6504257789118;1.9521694429776972
19;0;1180.6503352455668;1.952170907658628
20;0;1180.650292035793;1.9521716374324543
21;0;1180.6502713208458;1.952172002903866
22;0;1180.6502613430168;1.9521721868314033
23;0;1180.6502565270146;1.9521722798091954
24;0;1180.650254189632;1.9521723270241982
25;0;1180.6502530903622;1.952172351056834
26;0;1180.6502524975717;1.9521723634032666
27;0;1180.6502521781415;1.9521723697755557
28;0;1180.6502520756662;1.9521723730058231
29;0;1180.6502519529604;1.9521723747463648
30;0;1180.6502519502117;1.9521723755925602
31;0;1180.650251947628;1.9521723760365288
1;1;1200.7320450814757;1.41670052265737
2;1;1162.512968854189;1.6619461519029408
3;1;1145.279431517322;1.7901683078276294
4;1;1137.262765645407;1.8550108683580924
5;1;1133.6523695699577;1.885818363445784
6;1;1131.9083842240973;1.9018020107704743
7;1;1131.1512595234155;1.909423218602081
8;1;1130.7995772796135;1.9130779122890451
9;1;1130.6368335296017;1.9148434253880031
10;1;1130.5610461692177;1.915706215428106
11;1;1130.525594501397;1.9161320200674148
12;1;1130.5090480257682;1.9163411525178506
13;1;1130.501348091177;1.916442854824738
14;1;1130.4977613407773;1.916492128977505
15;1;1130.4960854435844;1.9165160449336804
16;1;1130.4952997178289;1.916527703830487
17;1;1130.4949300755982;1.9165334179397149
18;1;1130.4947555602134;1.9165362342420034
19;1;1130.494672831935;1.91653763011378
20;1;1130.4946334992144;1.916538325689133
21;1;1130.4946147197822;1.916538674106314
22;1;1130.4946057127734;1.9165388495014428
23;1;1130.494601385865;1.9165389381968967
24;1;1130.4945992949329;1.9165389832561948
25;1;1130.4945983184118;1.9165390062009553
26;1;1130.494597793993;1.9165390179949993
27;1;1130.4945975102198;1.9165390240860867
28;1;1130.4945974219124;1.9165390271749192
29;1;1130.4945973114338;1.9165390288406177
30;1;1130.4945973106196;1.9165390296506675
31;1;1130.4945973086083;1.9165390300760685
1;2;1150.4728732737115;1.4029061548122865
2;2;1113.6484793302996;1.6388597058065715
3;2;1097.1591356975064;1.7619867309453907
4;2;1089.5205930406273;1.8241964519253158
5;2;1086.0852997480613;1.8537294503532014
6;2;1084.4392525508515;1.86905855670223
7;2;1083.7201898236801;1.8763498824955587
8;2;1083.3878885492206;1.8798465748232112
9;2;1083.2344568430512;1.8815350405239115
10;2;1083.1631272187167;1.882359910909318
11;2;1083.1298321435652;1.882766936220917
12;2;1083.114350527903;1.8829668154420314
13;2;1083.107179355056;1.8830639936720954
14;2;1083.103852641268;1.8831110608430708
15;2;1083.1023034473121;1.8831338981616979
16;2;1083.1015792413298;1.8831450280820605
17;2;1083.1012394975855;1.8831504817729503
18;2;1083.1010795635455;1.8831531693669676
19;2;1083.101003984007;1.8831545013803048
20;2;1083.1009681706898;1.8831551651551404
21;2;1083.1009511333473;1.8831554976790426
22;2;1083.1009429933563;1.8831556651026917
23;2;1083.1009390996753;1.8831557497873388
24;2;1083.1009372256199;1.8831557928210425
25;2;1083.1009363558135;1.8831558147417384
26;2;1083.1009358912033;1.8831558260133237
27;2;1083.1009356384204;1.8831558318374853
28;2;1083.100935562087;1.8831558347920814
29;2;1083.1009354627693;1.8831558363866479
30;2;1083.100935463336;1.8831558371621617
31;2;1083.1009354613552;1.8831558375697408
1;3;1102.7839296882607;1.3898417111244492
2;3;1067.6183145191976;1.6171572095656377
3;3;1051.9582560910078;1.735578884882989
4;3;1044.7286717215297;1.795362682948573
5;3;1041.4801918261128;1.8237249958976103
6;3;1039.9354636788235;1.8384491889377377
7;3;1039.2560669556221;1.8454388971555196
8;3;1038.9435395431217;1.8487908025474875
9;3;1038.7994991680596;1.8504087073605375
10;3;1038.7326263523444;1.8511988777809802
11;3;1038.7014665861886;1.8515887221990404
12;3;1038.6870234136197;1.8517801299090566
13;3;1038.6803592225428;1.851873162506713
14;3;1038.6772783734707;1.8519182064114954
15;3;1038.6758476838497;1.851940054841696
16;3;1038.675180495584;1.8519506998338309
17;3;1038.67486823189;1.8519559147848645
18;3;1038.6747215917035;1.851958484355855
19;3;1038.6746524776938;1.8519597577825828
20;3;1038.6746198219655;1.8519603923598946
21;3;1038.674604335645;1.8519607102763325
22;3;1038.6745969613778;1.851960870365525
23;3;1038.6745934474168;1.8519609513537274
24;3;1038.674591762201;1.8519609925189238
25;3;1038.674590984195;1.851961013493161
26;3;1038.6745905708342;1.851961024280165
27;3;1038.6745903452088;1.8519610298563143
28;3;1038.6745902787077;1.8519610326859537
29;3;1038.674590189081;1.8519610342140773
30;3;1038.6745901905977;1.8519610349573208
31;3;1038.6745901886545;1.8519610353488993
1;4;1057.8986278029563;1.3775712415445633
2;4;1024.5380164337998;1.5969016014599318
3;4;1009.7471464650703;1.7109989868265827
4;4;1002.9382822276426;1.7685581051250971
5;4;999.8803880036876;1.7958501958056232
6;4;998.4367296986228;1.8100183945268444
7;4;997.7971913410938;1.8167338385862402
8;4;997.5042248558698;1.8199538483770012
9;4;997.3693970277496;1.821507530334102
10;4;997.3068685549589;1.8222661471269268
11;4;997.2777749404521;1.822640374469641
12;4;997.264324560787;1.822824079189353
13;4;997.2581384270627;1.8229133407256537
14;4;997.25528675049;1.8229565442396465
15;4;997.2539655246254;1.8229774935103153
16;4;997.2533506032414;1.8229876977814339
17;4;997.2530633511267;1.8229926958348637
18;4;997.2529287260982;1.822995158198486
19;4;997.25286541393;1.8229963784024439
20;4;997.252835571199;1.82299698644852
21;4;997.2528214562949;1.8229972910844
22;4;997.2528147543491;1.8229974444990682
23;4;997.2528115708736;1.822997522121678
24;4;997.2528100488652;1.8229975615831224
25;4;997.2528093497295;1.8229975816926598
26;4;997.2528089802446;1.8229975920368322
27;4;997.2528087778029;1.8229975973863422
28;4;997.2528087192417;1.8229976001016857
29;4;997.2528086384181;1.82299760156827
30;4;997.2528086402478;1.8229976022821772
31;4;997.2528086384647;1.8229976026583143
1;5;1015.8985105039067;1.3661267355529383
2;5;984.4032827686735;1.5781104745079293
3;5;970.4894386479799;1.6882502908290966
4;5;964.0997654142195;1.7437775644741613
5;5;961.2307496800956;1.770095257066566
6;5;959.8854967543915;1.7837547935007343
7;5;959.2850574876114;1.7902219761045302
8;5;959.0110444607246;1.793322418817275
9;5;958.8850865526896;1.7948179419754686
10;5;958.8267208892329;1.7955480145374796
11;5;958.7995957115945;1.7959081219667847
12;5;958.7870819307104;1.796084862115819
13;5;958.781341625205;1.7961707140697278
14;5;958.7787015890755;1.796212254214043
15;5;958.7774806794234;1.7962323913285996
16;5;958.7769133456615;1.7962421977966028
17;5;958.7766487271418;1.796247000186518
18;5;958.776524907742;1.7962493658752317
19;5;958.7764667801537;1.7962505380937017
20;5;958.7764394345701;1.7962511222165667
21;5;958.7764265284055;1.7962514148751931
22;5;958.7764204150267;1.7962515622678656
23;5;958.7764175189333;1.7962516368511707
24;5;958.7764161376822;1.796251674773301
25;5;958.7764155056419;1.7962516941018167
26;5;958.7764151734511;1.796251704044563
27;5;958.7764149908867;1.7962517091878993
28;5;958.7764149388172;1.7962517117999945
29;5;958.7764148657427;1.7962517132105273
30;5;958.7764148679545;1.7962517138971417
31;5;958.7764148658388;1.7962517142603789
1;6;976.7619793624325;1.355509192288749
2;6;947.1324692449258;1.560757153646943
3;6;934.0817115522627;1.6672858654210636
4;6;928.1008728451491;1.720962824766528
5;6;925.4154358309364;1.746395950200448
6;6;924.1644185114476;1.7595917007340667
7;6;923.6017159654003;1.7658348900115546
8;6;923.3458114428666;1.7688273249077127
9;6;923.2282861892886;1.7702703745508288
10;6;923.1738635653259;1.7709747227750783
11;6;923.1485943406593;1.7713221139684
12;6;923.1369564359877;1.7714925836570323
13;6;923.1316289786521;1.7715753668368879
